word,sentiment_coeff
i,3.3712560400692526
was,3.1713492430856456
very,3.0694299995310943
displeased_with,4.688817163135197
this,3.62535411087379
move,2.8921245715080746
everything,3.0584941859766177
terrible,3.3634678137239122
from,2.9076455158804935
the,3.0875870165735524
start,3.042664743120934
comedy,3.16822648418662
action,3.1041944478914987
overdone,3.13638064409406
songs,3.054014801204895
even,3.341605340489248
storyline,3.1592018407605145
weightless,4.709956734975515
writer,2.9195812239830516
who,3.0310925019577244
has,2.90728209474406
written,3.053888118968227
successful,2.915967505691003
scripts,3.1072974303227934
like,3.248535508055447
guru,3.2667561175265405
and,3.059847400642972
dhoom,3.9358190553046724
had,3.1245691992455633
high_expectations,3.5695289497971903
actors,3.0678340117850316
worked,3.0108232576903173
way,3.028747863213542
too,3.1468626755872666
hard,3.0587349461883964
did,3.123219204577305
not,3.2199818484034815
help,2.929226903670801
film,3.3204920555689146
at,2.9582638324037456
all,3.162001190236322
of,2.9936510862652037
course,2.9728350636349914
kareena,3.513307298818879
rocked,3.3266895973951365
screen,2.9797091471819166
in,2.919993195776908
bikini,3.103640936655647
but,3.2682892058974984
for,3.0508283619650447
two,2.875456365411738
seconds,3.0585873500355687
think,3.3294438938541235
hindi,3.2610920687736398
stunt,2.9647135553179726
directors,3.076668317051983
should,3.248063711152441
research,2.89891389575919
how,2.996602256542694
movies,3.384553080058515
are,2.9879457212558647
done,3.118617910426691
they,3.02604044256504
tend,3.09131850138277
to,2.996010428918461
exaggerate,4.014006426663474
too_much,3.0779426878395646
chinese,2.8505625199983293
films,3.174092569564765
style,3.0115901938245364
works,2.912698978529961
because,3.2514979981914616
that,3.197650606013173
is,3.0428962026123108
their,2.890637789266877
hindi_cinema,3.250162075411205
signature,3.2428110018515377
good,3.2427190376692563
movie,3.4683647405579476
last,3.0217033470117682
no,3.0829030546521263
more_than,3.1144280877887205
two_hours,3.1549613642777823
cannot,2.9639288824357246
look,3.0618404607570806
unrealistic,3.12919517611744
future,2.855263372380504
m_sure,3.282941012536253
these,3.0408756287510075
will,3.082898369215709
get,3.1212067294915506
much,3.1302423176536704
sharper,3.2135555491767436
also,2.9685080124198366
be,3.0804691351305147
noted,2.9335191439556123
do,3.142743221235221
mix,2.9555876555780687
unless,3.1812075297889657
done_properly,4.052989262218731
good_luck,3.11078079378759
next,3.0368414120859013
time,3.0677005544665628
eric_rohmer,4.054783145912965
lady,2.886826863413432
duke,3.181595176924019
based_on,2.9746915194179033
journals,3.7899200643532582
an,2.8364797864995355
lived_through,3.093309813776014
french_revolution,3.606952913504858
it,3.4870953592790954
a,3.146126073678123
stilted,2.9976483661663496
affair_with,3.3409521316298196
its,3.172312610082316
strange,2.846312125816412
painted_backdrops,4.330564976363545
mannered,3.152263146263093
conversational,3.8119198484553296
tone,2.9975225709941546
most_notably,2.970343712574711
portrait,3.348761240811112
age,2.8709668569478977
terror,2.906367725793246
takes_place,2.8099839150129156
almost_entirely,3.041291986789004
one,3.1430061422640283
remove,2.993211787107213
real,2.951213775371409
sees,3.1055313315645003
little,3.063423709849727
ordinary_people,3.686685747820733
chaos,3.255695676179524
poverty,3.366684368338443
unfolded,3.718516765450156
away_from,2.865375555915044
drawing_rooms,4.709537871083446
persecuted,3.8162356807047955
spoilt,3.255552224296116
aristocratic,3.9214967044780664
classes,2.874082761951478
result,3.1022114581932527
frequently,2.8959532237452894
dull,3.2174408165224015
ultimately,3.2225463936121557
unenlightening,4.872746442554651
about,3.0360454691875463
forces,3.208592145990716
sometimes,3.0217390988205755
drive,2.899851991533724
societies,4.307066535778252
brink,3.3425144139988894
destruction,3.1475351299219545
disappointing,3.223163804215801
acclaimed_director,4.948879476310245
ok,3.2895934146061423
first,3.0999570010895448
right,3.066967343273144
mind,2.9797299591952346
would,3.171558262692897
remake,3.1694867880845834
hitchcock,2.896712316900925
second,3.0580348050857418
shot,2.961980701031057
admit,3.198053180246694
no_intention,3.1938194353755014
ever,3.1292993056598637
watching,3.357373757928413
reason,3.1351337244271806
original,3.2581170419798022
psycho,2.897074798588298
my_favorite,3.0869985795426604
just,3.3837625991087847
seemed,3.076613626925878
degrading,3.1727973817935844
photocopy,4.366793244268967
watch,3.366288145492707
my_girlfriend,3.3472290027689207
wanted,3.0914661175790816
compare,3.2039080577641377
we,2.947832445371942
both_agreed,3.962607347052593
less_than,2.9909547421273426
five_minutes,3.1331449457987315
into,2.8533758576075394
crap,3.4134482255260017
awful,3.408121993762438
as,2.8779682591232696
mentioned,3.042737490265712
where,2.904700558747777
originality,3.2061539170213975
why,3.0480136866710392
almost,3.183146551356593
perfect,2.8926464146339272
exactly,3.0577989854523056
such,3.110986828521008
begin,3.004677781069514
with,2.907556777123758
if_you,3.221673784782754
going,3.09799759677515
something,3.1931333007785034
doesn,2.9852192001681903
work,3.008552961732426
make,3.1328090522696836
better,3.242026136970428
used,3.0145753870413614
exact_same,3.072106177527182
script,3.2125001259578863
version,3.079635817014126
dialog,3.2030051706295612
no_longer,2.8522067107421796
fine,2.9291943776022884
sounds,2.978668594560238
seems,2.924600089574504
odd,2.9616747461808806
coming,2.982538234444422
out,3.024059732009512
modern,3.1608845254560176
update,3.341791214862398
hitch,2.843256267839886
didn,3.24305664871477
write,3.1842683253447737
you,3.1955982912530283
could_have,3.0209055009140227
rewritten,3.3598101596581973
some,3.1757109579681213
talent,3.0281701915249144
were,3.076737291941671
wasted,3.1451836810291205
by,2.8248510303256307
imitation,2.992448022670952
actor,2.9646682402495674
played,2.9797916004191833
car_salesman,4.690841418703263
he,2.8388194363402794
playing,3.051816631074799
john,3.2055984542312865
anderson,2.917001580890753
performance,3.0624420133009718
only,3.2124299336812445
direction,3.0547554631942946
given,2.991160880958295
characters,2.9265363571767455
vince_vaughn,3.130253635608497
may,3.0802606028156623
have,3.1678971153716198
creepier_than,4.116307656301867
anthony_perkins,3.0566602451569604
doing,3.012362255875254
so,3.3092700854107857
loose,2.858113562494923
sympathy,3.196142683112911
supposed,2.9924761747826727
norman,3.1869164045493523
having,2.9489662813766513
while,2.9499955014069332
marion,3.4513921819930724
undress,3.723452876813301
far,3.0917798395172404
lost,2.8728839739232916
innocence,3.143172833064149
character,2.970099379596471
tony_perkins,3.756697406942852
captured,2.884810460755934
well,3.067233840820794
his,2.8795588107104964
viggo_mortensen,3.8564050489511317
accent,2.851737596373975
annoying,3.1114949351670473
far_too,3.0416556267624593
old,2.872134965262848
play,2.863772702281523
caroline,4.375120342127834
her,2.8764669853157048
lines,3.0717677353262136
came,3.094716078161632
off,2.971341118175408
someone,3.0819177876582526
desperate,2.8182137989959783
rather_than,3.0609758104230407
young,3.155897757730428
fun,3.2246252448677453
patricia_hitchcock,5.3438148784017265
thing,3.293920357199753
saw,3.297002112959884
gus_van,3.195215673370833
sant,3.117670928783494
able,2.8767119733962465
open,2.8620066984464287
had_envisioned,3.8123781899954876
long,3.042746995372159
over,2.974612089383464
phoenix,2.9644726044403145
couldn,3.1960575367252915
settle,3.0977913339245857
series,3.135694085659474
shots,2.950420027180434
cross,2.900197943210565
dissolved,4.39966715321956
together,2.8353669307955336
fulfilled,3.3525645210976576
vision,3.1653083723781883
helicopter,3.177179800626825
window,2.95866125877175
hotel,3.0262182125268864
after,2.942255783633105
though,3.233227509989532
became,2.901325287993219
worthless_waste,4.251212952652778
celluloid,3.14621197179819
curious_about,3.1744309793669125
destroy,2.909932445038512
wonderful,2.9048800390314797
under,2.8284344231807634
any_circumstances,3.3522085691411263
before,3.012221242907768
faded,3.1282613917040716
never,3.063525199698125
have_been,3.084201850806936
green_lit,3.8565980027678552
stick,3.1910556043371856
master,2.861954367688134
credit,3.035227345290167
more,3.0444471709421315
competent,2.940946637119513
pieces,2.985565097333422
trash,3.2754833285260982
there,3.1628842537260535
considerably,3.0360725117697704
gore,3.2359635030637923
interesting,3.0470765591659257
take,2.944527017730242
on,2.9614473467114992
ripping_off,3.506796938610277
snakes,3.00022412443964
plane,2.895868337634041
if,3.2266490446748723
any,3.1837388319337414
example,3.071469795857242
inconsistency,3.221272551249138
behind,2.8969738329646453
